Comment;Designator;Footprint;LCSC
10;R7;R_0805_2012Metric;
100mA;F3;Fuse_0805_2012Metric;C2649565
100mA;F2;Fuse_0805_2012Metric;C2649565
100n;C8;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100n;C7;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF;C21;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF;C20;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF;C35;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF;C37;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF;C36;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF;C34;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF;C23;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF;C24;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C1525
100nF/50V;C18;C_0402_1005Metric;C307331
100pF / 50V;C17;C_0402_1005Metric;C307331
10k;R15;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;
10k;R14;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;
10nF;C27;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10nF;C32;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10nF;C30;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10nF;C26;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10nF;C28;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10nF;C31;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10nF;C29;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10nF;C25;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10pF;C4;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10pF;C6;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10pF;C5;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10pF;C3;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;
10uF;C12;C_1206_3216Metric;
10uF;C10;C_1206_3216Metric;
10uF;C15;C_1206_3216Metric;
10uF;C11;C_1206_3216Metric;
110E;FB1;LED_0805_2012Metric;C1015
120;R6;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C25079
120;R4;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C25079
120uH / 0.5A;L2;L_7.3x7.3_H4.5;C5339531
16Mhz;Y1;Crystal_SMD_2016-4Pin_2.0x1.6mm;C7294751
1k;R18;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R16;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R24;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R22;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R17;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R21;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R20;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R23;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R13;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R12;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k;R1;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;C11702
1k5;R5;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;
1N4448WS;D2;D_SOD-323;C167101
1N4448WS;D3;D_SOD-323;C167101
1u;C9;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C28323
1uF;C13;C_0805_2012Metric;C28323
