Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2u2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,187.5536,-68.9356,45.0,top
C2,2u2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,180.497517,-58.465683,45.0,top
C3,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,166.5137,-71.4756,180.0,top
C4,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,169.3164,-74.4728,180.0,top
C5,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,168.43,-66.929,0.0,top
C6,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,164.465,-68.961,-90.0,top
C7,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,179.832,-69.0285,270.0,bottom
C8,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,178.6128,-69.0198,90.0,bottom
C9,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,176.1744,-69.0198,90.0,bottom
C10,10uF,C_1206_3216Metric,153.16,-83.6,0.0,bottom
C11,10uF,C_1206_3216Metric,153.16,-76.38,0.0,bottom
C12,10uF,C_1206_3216Metric,153.16,-73.83,0.0,bottom
C13,1uF,C_0805_2012Metric,150.529,-55.372,90.0,top
C14,4.7uF,C_0603_1608Metric,157.4,-56.825,-90.0,top
C15,10uF,C_1206_3216Metric,153.14,-81.03,0.0,bottom
C16,1uF,C_0805_2012Metric,159.5,-81.1784,90.0,top
C17,100pF / 50V,C_0402_1005Metric,159.0,-75.4,90.0,top
C18,100nF/50V,C_0402_1005Metric,160.2,-75.4,90.0,top
C19,4.7uF,C_0603_1608Metric,166.1884,-82.8898,-90.0,top
C20,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,170.0,-54.4,90.0,top
C21,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,170.0,-60.2,90.0,top
C23,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,188.722,-81.534,270.0,bottom
C24,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,193.04,-81.534,270.0,bottom
C25,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,169.6212,-78.74,90.0,bottom
C26,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,170.920228,-78.74,90.0,bottom
C27,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,172.219256,-78.74,90.0,bottom
C28,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,174.817312,-78.74,90.0,bottom
C29,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,176.11634,-78.74,90.0,bottom
C30,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,177.415368,-78.74,90.0,bottom
C31,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,178.7144,-78.74,90.0,bottom
C32,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,173.518284,-78.74,90.0,bottom
C33,"4,7uF",C_0603_1608Metric,174.6504,-68.6178,270.0,bottom
C34,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,169.067517,-64.510883,45.0,top
C35,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,179.608517,-57.576683,45.0,top
C36,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,180.6956,-74.6252,-135.0,top
C37,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,186.6138,-68.1482,45.0,top
D1,LED_Small,LED_0805_2012Metric,163.0449,-65.4812,0.0,top
D2,1N4448WS,D_SOD-323,154.178,-57.912,0.0,top
D3,1N4448WS,D_SOD-323,162.9664,-84.0232,0.0,top
D4,D_TVS,D_SMA,159.0,-70.7,90.0,top
F1,500mA,Fuse_0805_2012Metric,162.0,-68.9,-90.0,top
F2,100mA,Fuse_0805_2012Metric,158.5,-54.1,180.0,top
F3,100mA,Fuse_0805_2012Metric,166.6748,-79.2988,-90.0,top
FB1,110E,LED_0805_2012Metric,162.7625,-76.0,0.0,top
IC1,LDO40LPU33RY,SON95P300X300X90-7N-D,163.1274,-81.0768,0.0,top
IC2,LDO40LPU50RY,SON95P300X300X90-7N-D,154.339,-55.012,0.0,top
IC4,NL27WZ14DTT1G,SOT95P275X110-6N,185.948,-74.742,180.0,top
J1,Conn_01x06_Male,Molex_Micro-Latch_53254-0670_1x06_P2.00mm_Horizontal,152.6032,-66.675,90.0,top
J2,Conn_01x06_Male,PinHeader_1x06_P1.27mm_Vertical,188.722,-61.214,180.0,top
J5,Conn_01x04_Male,Molex_Micro-Latch_53254-0470_1x04_P2.00mm_Horizontal,192.405,-81.28,180.0,top
J7,BUTTON,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,197.808,-73.777,-90.0,top
J8,BUTTON,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,193.236,-73.777,-90.0,top
J9,BUTTON,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,197.808,-68.321,-90.0,top
J10,BUTTON,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,193.236,-68.326,-90.0,top
J11,DBG,PinHeader_2x03_P1.27mm_Vertical,176.149,-55.88,0.0,top
J12,Conn_01x10,Molex_PicoBlade_53047-1010_1x10_P1.25mm_Vertical,175.7326,-82.7968,180.0,top
J14,BUTTON,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,197.808,-62.865,-90.0,top
J15,BUTTON,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,193.236,-62.855,-90.0,top
J16,POWER,PinHeader_1x02_P2.54mm_Vertical,196.088,-55.1738,0.0,top
